,Requirement Description,Requirement Id,,,,,,,
,Login and Logout,Rq1,,,,,,,
,Forget Password,Rq2,,,,,,,
,Remember me,Rq3,,,,,,,
,Components and layout texts,Rq4,,,,,,,
,Sign Up,Rq5,,,,,,,
,Security,Rq6,,,,,,,
,Should be compativle with multiple browser,Rq7,,,,,,,
,Should be compatible with multiple devices,Rq8,,,,,,,
,Performance,Rq9,,,,,,,
,,,,,,,,,
,,,,,,,,,
Test case Id,Rq1,Rq2,Rq3,Rq4,Rq5,Rq6,Rq7,Rq8,Rq9
TC1,x,,,,,,,,
TC2,x,,,,,,,,
TC3,x,,,,,,,,
TC4,x,,,,,,,,
TC5,x,,,,,,,,
TC6,x,,,,,,,,
TC7,x,,,,,,,,
TC8,,,x,,,,,,
TC9,,,x,,,,,,
TC10,,,x,,,,,,
TC11,,,x,,,,,,
TC12,,,x,,,,,,
TC13,,,x,,,,,,
TC14,,x,,,,,,,
TC15,,x,,,,,,,
TC16,,x,,,,,,,
TC17,,x,,,,,,,
TC18,,x,,,,,,,
TC19,,x,,,,,,,
TC20,x,,,,,,,,
TC21,x,,,,,,,,
TC22,x,,,,,,,,
TC23,x,,,,,,,,
TC24,x,,,,,,,,
TC25,,,,,x,,,,
TC26,,,,,x,,,,
TC27,,,,,x,,,,
TC28,,,,,x,,,,
TC29,,,,,x,,,,
TC30,,,,,x,,,,
TC31,,,,,x,,,,
TC32,,,,,x,,,,
TC33,,,,,x,,,,
TC34,,,,,,x,,,
TC35,,,,,,x,,,
TC36,,,,,,,x,,
TC37,,,,,,,x,,
TC38,,,,x,,,x,,
TC39,,,,,,,,x,
TC40,,,,,,,,x,
TC41,,,,x,,,,x,
TC42,,,,,,,,,x
TC43,,,,,,,,,x
TC44,,,,,,,,,x
TC45,,,,,,,,,x